23846,4NxxwRPkNOgwRk6ACKrGs9,Nora Van Elken,I Wanna Dance With Somebody,I Wanna Dance With Somebody - UK Edit,60,134516,False,0.657,0.889,1,-5.415,0,0.0415,0.0315,0.00473,0.917,0.238,124.043,4.0,deep-house,High Energy
23848,43Be2rrYZERvAr8LTEaotw,Sidney Charles;DJ Sneak,"House Music Rising, Vol. 1",Psyjack - DJ Sneak Remix,0,376320,False,0.805,0.914,11,-5.181,0,0.0544,4.98e-06,0.947,0.33,0.52,124.979,4.0,deep-house,High Energy
23849,0aV4DBgGF6qu3fUm3SXYhu,Kathy Brown;Jet Boot Jack;Sebb Junior,"House Music Rising, Vol. 1",Bringing the Good Times Back - Sebb Junior Remix,0,381639,False,0.893,0.959,8,-7.981,0,0.169,0.00945,0.669,0.0845,0.45,126.017,4.0,deep-house,High Energy
23851,3rTnSsUS6gD2BDnMlPB2u8,Buray,Deli Kız,Deli Kız,58,195582,False,0.639,0.837,9,-4.632,0,0.0517,0.263,1.82E-6,0.0756,0.717,98.017,4.0,deep-house,High Energy
23853,5TQxS54o7gw5KOxikHxnUi,Chris Lake;Solardo,Free Your Body,Free Your Body,54,269400,False,0.854,0.922,9,-7.037,1,0.071,0.0152,0.0295,0.0708,0.821,124.995,4.0,deep-house,High Energy
23855,1LyTeIRYMHPA13p4b02NvV,Lucas Estrada;Wahlstedt;AMAYA,Naked,Naked,41,196523,False,0.719,0.837,2,-4.571,0,0.0349,0.0517,5.09E-4,0.108,0.251,123.989,4.0,deep-house,High Energy
23857,5H1tp2k7Ck2KPBE8t4zOO1,Dallerium;MKDN,Still Love You,Still Love You,53,178793,False,0.721,0.854,11,-6.74,1,0.0392,0.0187,0.369,0.252,0.104,124.019,4.0,deep-house,High Energy
23861,5THxirvtOzQQoUL9wLldgP,OFFAIAH,Find A Way,Find A Way,54,113251,False,0.898,0.814,7,-5.218,1,0.118,0.000121,0.426,0.147,0.608,124.041,4.0,deep-house,High Energy
23863,59GRvXZLg7H7DJZkw4D7TJ,Pablo Fierro,Bangalora,Bangalora,32,467213,False,0.697,0.845,4,-8.785,1,0.0431,0.00772,0.836,0.0632,0.101,122.008,4.0,deep-house,High Energy
23864,66IP8p7WMv8rpBIOi9zYl8,Lucas Estrada;Matvey Emerson;James Carter;MKLA,Never Leave You,Never Leave You,41,174606,False,0.827,0.815,9,-5.524,0,0.0376,0.0531,6.75E-5,0.0894,0.554,120.02,4.0,deep-house,High Energy
23866,2TbWKrXTDBKGBBMUxeKOJc,Androma,Kaya,Kaya,54,156120,False,0.616,0.925,4,-5.137,0,0.0337,0.00221,0.817,0.178,0.298,118.974,4.0,deep-house,High Energy
23868,76AMW7PQUbQZucnM2NHZO5,Sonny Fodera;Dom Dolla,Moving Blind,Moving Blind,40,192983,False,0.909,0.877,2,-6.683,1,0.117,0.0174,4.66E-4,0.0761,0.363,121.998,4.0,deep-house,High Energy
23869,2kEvC6w9wRf96llW9sJrRU,Tensnake;Cara Melín,L.A.,Antibodies,54,200021,False,0.776,0.814,0,-5.86,0,0.0737,0.0336,0.0,0.109,0.831,118.032,4.0,deep-house,High Energy
23870,4xfYNH75F5Ji7CJ1v0OMM9,Kideko;Saffron Stone,The Music,The Music,55,146412,False,0.741,0.855,7,-4.603,1,0.0372,0.00166,0.0042,0.285,0.756,123.988,4.0,deep-house,High Energy
23871,4IKa5EKTmhKvV1wuTJf9Eq,Karen Harding;Digital Farm Animals,Undo My Heart,Undo My Heart,50,180419,False,0.605,0.873,11,-6.267,1,0.035,0.0352,0.0041,0.0644,0.343,122.998,4.0,deep-house,High Energy
23873,1ytGToyD4sNifrEV4ZDw2p,Deep Chills;HUTS,Run Free (with HUTS),Run Free (with HUTS),33,133220,False,0.696,0.85,7,-4.906,1,0.287,0.00792,6.32E-4,0.218,0.411,117.913,4.0,deep-house,High Energy
23878,2023lrR070OC4OuCfoPW5O,Navos;Jaykae,Believe Me (Remix),Believe Me - Remix,55,134289,False,0.664,0.9,5,-5.944,0,0.0602,0.303,0.0,0.356,0.519,124.961,4.0,deep-house,High Energy
23879,7oahNRcO0CxOOQWlqpuH40,Syn Cole,Mind Blown,Mind Blown,54,161593,True,0.837,0.868,1,-4.045,0,0.0458,0.174,0.159,0.0512,0.962,122.002,4.0,deep-house,High Energy
23882,0W41SRfxknKwHBc2oaYcAQ,Viva La Panda;Miss Mathilda,Riptide,Riptide,52,172431,False,0.621,0.847,3,-6.108,1,0.278,0.0584,1.11E-6,0.109,0.373,101.996,4.0,deep-house,High Energy
23890,5u0xcIyQFAfDy5PbEfnhsy,Louie Vega;Elements Of Life;Blaze,Elements Of Life,Elements Of Life,26,501306,False,0.653,0.898,2,-8.118,1,0.0423,0.0394,0.162,0.0817,0.799,125.94,4.0,deep-house,High Energy
23892,6ohT0RqfkFOOUeZm7TmHfE,Gabbana,TDHK,The Plug,27,399209,False,0.655,0.874,11,-9.812,0,0.0784,0.00739,0.816,0.337,0.553,111.995,4.0,deep-house,High Energy
23897,5SoyQfSOYcegt3mXLdlqSl,Klubfiller;Rob Tissera;Steve Hill,"Cardio Workout, Vol. 8",Sunrise - 2021 Edit,26,262400,False,0.562,0.962,11,-4.01,1,0.052,4.14e-05,0.174,0.131,0.55,150.002,4.0,deep-house,High Energy
23900,5nrdOK0i7daIsDAt4zRbHM,Secondcity,I Wanna Feel,I Wanna Feel,52,186066,False,0.69,0.895,10,-6.305,0,0.0596,0.0693,0.00237,0.102,0.817,122.022,4.0,deep-house,High Energy
23902,6iNhl5IcRJfm3F42plOPA4,DJ Koze;&ME;Sophia Kennedy,Knock Knock Remixes,"Drone Me Up, Flashy - &ME Remix",49,546471,False,0.804,0.803,1,-8.237,1,0.0501,0.000732,0.877,0.0932,0.0721,119.998,4.0,deep-house,High Energy
23911,0ku6jfwJvvtXgoZcpubwy7,Joshwa;Fallon,Papi,Papi,51,173538,False,0.683,0.898,11,-6.746,0,0.054,0.000739,0.755,0.127,0.276,130.002,4.0,deep-house,High Energy
23921,3GXGACK2mI72JpsgD6SrAm,M-22;Arlissa;Kiana Ledé,Charlie's Angels (Original Motion Picture Soundtrack),Eyes Off You (with Arlissa & Kiana Ledé),40,202720,False,0.659,0.875,10,-4.293,0,0.258,0.00384,0.0,0.313,0.532,123.893,4.0,deep-house,High Energy
23922,7DSBxP0sGTuEb249LMJSLY,Deepend,Only Love,Only Love,50,172222,False,0.647,0.81,2,-5.804,1,0.0521,0.0658,0.00236,0.237,0.648,108.011,4.0,deep-house,High Energy
23923,4GBioxlmzLLaFarxoaXCEc,Fullife;Laura Murray,Broken Heart,Broken Heart,49,171857,False,0.8,0.887,3,-3.257,1,0.0354,0.286,0.0,0.196,0.347,107.987,4.0,deep-house,High Energy
23925,6FANeHrcPH8cDFUgty6jDS,M-22;Lorne,Think About Us (90's Club Mix),Think About Us - 90's Club Mix,56,194904,False,0.649,0.877,1,-5.983,1,0.0589,0.000633,0.0634,0.335,0.296,119.991,4.0,deep-house,High Energy
23926,4lkARggU1higL8Uszt8cPY,Purple Disco Machine,Emotion,Emotion,49,184918,False,0.721,0.897,8,-6.489,1,0.0384,0.0134,0.00819,0.0663,0.834,122.025,4.0,deep-house,High Energy
23927,0Rgi5EktdB5EFgMjU4YTnx,Dombresky;Crusy,El Beso (feat. Mathieu Ruz),El Beso (feat. Mathieu Ruz),52,211547,False,0.653,0.962,10,-4.848,0,0.0454,0.000851,0.0168,0.411,0.611,125.97,4.0,deep-house,High Energy
23928,4DiuwmmlIFwF5rFljlannW,Nora En Pure,Enchantment,Enchantment,51,223276,False,0.594,0.866,7,-7.608,1,0.0697,0.0602,0.486,0.214,0.0385,124.001,4.0,deep-house,High Energy
23930,1nOrmN6H9MmEzSTU024eAX,Toby Rose;TWOPILOTS,Cool Kids,Cool Kids,55,153107,False,0.769,0.841,4,-5.365,0,0.0423,0.114,0.0,0.229,0.712,116.016,4.0,deep-house,High Energy
23931,6HZAjfGnfhrly4dI23vjOH,Jolyon Petch;Starley,I Just Want Your Touch,I Just Want Your Touch,53,176603,False,0.677,0.909,7,-4.507,0,0.105,0.059,0.0,0.474,0.477,122.908,4.0,deep-house,High Energy
23934,5VyVQuqtPkKZt1jaXKuQkR,Claptone;Dizzy;Nora En Pure,Queen of Ice (Nora En Pure Remix),Queen of Ice - Nora En Pure Club Mix,44,255121,False,0.714,0.891,6,-6.752,1,0.0381,0.0513,0.0837,0.152,0.0415,123.0,4.0,deep-house,High Energy
23935,4qwMak56ZKbCILVeW9CZ1U,Nora Van Elken;Wahlstedt,I Wanna Dance With Somebody (Wahlstedt Remix),I Wanna Dance With Somebody - Wahlstedt Remix,54,150476,False,0.783,0.872,6,-4.5,0,0.04,0.0204,0.0793,0.286,0.589,125.997,4.0,deep-house,High Energy
23937,0rSpu20UCvDF2BE2tNx4LF,Maarten de Jong,Tritonia 400,X2 (Tritonia 400),0,164985,False,0.538,0.968,2,-6.073,1,0.0858,0.0211,0.736,0.164,0.0364,127.957,4.0,deep-house,High Energy
23939,1qJymPMEBleOFWGuFRkZoy,Klubfiller;Steve Hill;Carlotta Chadwick,"Cardio Workout, Vol. 6",In My Eyes - 2021 Edit,26,344346,False,0.595,0.971,9,-5.122,1,0.0725,0.00127,0.0155,0.165,0.0599,144.997,4.0,deep-house,High Energy
23942,2tcPU53Qeza9oFfWjRVM3n,Kim English,My Destiny,Everyday - Hex Hector Remix,26,245560,False,0.636,0.967,9,-6.269,1,0.0564,0.0259,6.97E-4,0.281,0.675,132.0,4.0,deep-house,High Energy
23945,7sOGRoSQfjkMkk1YOEqH84,Miguel Migs,Those Things,Mesmerized,26,344626,False,0.807,0.818,9,-4.595,0,0.0721,0.0217,0.228,0.0751,0.629,124.96,4.0,deep-house,High Energy
23947,4rkgXbMWRodQ6OIup8EGcE,Klubfiller;Rob Tissera;Steve Hill;BK,"Cardio Workout, Vol. 3",The Key - BK's Slam Remix Edit,26,329577,False,0.671,0.92,5,-3.949,0,0.178,0.000653,0.518,0.0255,0.36,142.0,4.0,deep-house,High Energy
23950,2W6XpjOKbmZ1NNVNtwBr5b,Emrah Karaduman;Aleyna Tilki,Cevapsız Çınlama,Cevapsız Çınlama,52,212535,False,0.677,0.963,7,-3.0,1,0.104,0.00469,1.17E-6,0.358,0.598,108.016,4.0,deep-house,High Energy
23952,0I8oQaAdhVgx19qXiVKDuI,Hadise,Şampiyon,Sıfır Tolerans,62,225794,False,0.755,0.834,6,-6.021,0,0.0662,0.00509,0.0,0.18,0.558,127.981,4.0,deep-house,High Energy
23956,1ecT8HKw4RnjgGoC63jHXI,Shift K3Y,Back To Summer,Back To Summer,54,181635,False,0.632,0.874,1,-3.106,0,0.058,0.0169,3.72E-6,0.32,0.65,124.009,4.0,deep-house,High Energy
23960,3SmRFCZCqbsFUl4yhNDCGW,Chris Lorenzo;AC Slater;COBRAH,MAMI (AC Slater Remix),MAMI - AC Slater Remix,46,227110,False,0.738,0.969,6,-5.049,1,0.0501,0.00458,0.832,0.0787,0.861,128.011,4.0,deep-house,High Energy
23962,5Gl0Oedhzp5KzHeajiZSxQ,Martin Ikin,Hooked,Hooked,52,192380,False,0.747,0.998,5,-5.934,1,0.0516,0.0207,0.705,0.058,0.724,125.989,4.0,deep-house,High Energy
23964,5K0MAKgSzTxGqiKhdwW12j,Shiba San;Black V Neck;Nautik,Ba Da Bam,Ba Da Bam,51,215238,False,0.787,0.931,0,-5.436,1,0.0509,0.00285,0.902,0.0923,0.276,125.992,4.0,deep-house,High Energy
23972,62fX7oJFfJp4g1b3LShSqf,BLOND:ISH;Malone;Archila,Voices Above,Voices Above,43,190942,False,0.716,0.944,3,-7.033,1,0.0393,0.00299,0.863,0.123,0.281,121.982,4.0,deep-house,High Energy
23977,2m9qRdqlX38yroyuxGGMO1,Sons Of Maria,Release Me,Release Me,37,201650,False,0.545,0.815,9,-4.592,0,0.158,0.459,0.0619,0.177,0.391,106.011,4.0,deep-house,High Energy
23978,6xBU9ordUqC3tzhE3uKVKl,D.O.D,Two Caps,Two Caps,49,183425,False,0.673,0.958,10,-4.764,0,0.0553,0.000925,0.927,0.0522,0.886,126.979,4.0,deep-house,High Energy
23979,0mD4CVAwzKrZad0yYCADFe,Mark Knight;Skin;Sultan + Shepard,Nothing Matters (Sultan + Shepard Remix),Nothing Matters - Sultan + Shepard Remix,40,232745,False,0.629,0.802,4,-6.911,0,0.0379,0.0294,0.00387,0.13,0.0786,121.996,4.0,deep-house,High Energy
23982,3txlbadheKtYDsywClnjMU,James Hype;Pia Mia;PS1,Good Luck (PS1 Remix),Good Luck (feat. Pia Mia) - PS1 Remix,47,146669,False,0.669,0.896,5,-4.451,0,0.0471,0.00331,4.3E-6,0.299,0.355,125.961,4.0,deep-house,High Energy
